

SWITCH s1

 cookie=0x0, duration=51.219s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:8b,dl_dst=00:00:00:00:00:27 actions=output:"s1-eth39"
 cookie=0x0, duration=51.058s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:21,dl_dst=00:00:00:00:00:85 actions=output:"s1-eth101"
 cookie=0x0, duration=50.386s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:8c,dl_dst=00:00:00:00:00:28 actions=output:"s1-eth40"
 cookie=0x0, duration=50.204s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:22,dl_dst=00:00:00:00:00:86 actions=output:"s1-eth101"
 cookie=0x0, duration=49.560s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:8d,dl_dst=00:00:00:00:00:29 actions=output:"s1-eth41"
 cookie=0x0, duration=49.351s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:23,dl_dst=00:00:00:00:00:87 actions=output:"s1-eth101"
 cookie=0x0, duration=48.735s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:8e,dl_dst=00:00:00:00:00:2a actions=output:"s1-eth42"
 cookie=0x0, duration=48.497s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:24,dl_dst=00:00:00:00:00:88 actions=output:"s1-eth101"
 cookie=0x0, duration=47.907s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:8f,dl_dst=00:00:00:00:00:2b actions=output:"s1-eth43"
 cookie=0x0, duration=47.639s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:25,dl_dst=00:00:00:00:00:89 actions=output:"s1-eth101"
 cookie=0x0, duration=47.081s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:90,dl_dst=00:00:00:00:00:2c actions=output:"s1-eth44"
 cookie=0x0, duration=46.790s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:26,dl_dst=00:00:00:00:00:8a actions=output:"s1-eth101"
 cookie=0x0, duration=46.253s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:91,dl_dst=00:00:00:00:00:2d actions=output:"s1-eth45"
 cookie=0x0, duration=46.151s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:27,dl_dst=00:00:00:00:00:8b actions=output:"s1-eth101"
 cookie=0x0, duration=45.406s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:92,dl_dst=00:00:00:00:00:2e actions=output:"s1-eth46"
 cookie=0x0, duration=45.295s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:28,dl_dst=00:00:00:00:00:8c actions=output:"s1-eth101"
 cookie=0x0, duration=44.606s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:93,dl_dst=00:00:00:00:00:2f actions=output:"s1-eth47"
 cookie=0x0, duration=44.446s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:29,dl_dst=00:00:00:00:00:8d actions=output:"s1-eth101"
 cookie=0x0, duration=43.777s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:94,dl_dst=00:00:00:00:00:30 actions=output:"s1-eth48"
 cookie=0x0, duration=43.591s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:2a,dl_dst=00:00:00:00:00:8e actions=output:"s1-eth101"
 cookie=0x0, duration=42.949s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:95,dl_dst=00:00:00:00:00:31 actions=output:"s1-eth49"
 cookie=0x0, duration=42.737s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:2b,dl_dst=00:00:00:00:00:8f actions=output:"s1-eth101"
 cookie=0x0, duration=42.116s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:96,dl_dst=00:00:00:00:00:32 actions=output:"s1-eth50"
 cookie=0x0, duration=41.885s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:2c,dl_dst=00:00:00:00:00:90 actions=output:"s1-eth101"
